taxa_name	class	order	family	genus	species	coefficient	direction	abs_value
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_309				Roseburia	Roseburia_sp_CAG_309	0.07996823430729620	health-associated	0.07996823430729620
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus				Coprobacter	Coprobacter_secundus	0.07961238899965980	health-associated	0.07961238899965980
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis				Roseburia	Roseburia_hominis	0.060856799553126000	health-associated	0.060856799553126000
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae			Eggerthellaceae			0.058580915614315400	health-associated	0.058580915614315400
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii				Eubacterium	Eubacterium_hallii	0.05692133949999930	health-associated	0.05692133949999930
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38				Eubacterium	Eubacterium_sp_CAG_38	0.05624115197748080	health-associated	0.05624115197748080
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	Deltaproteobacteria					0.053288892677643700	health-associated	0.053288892677643700
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus				Streptococcus	Streptococcus_thermophilus	0.046697530898726000	health-associated	0.046697530898726000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii				Intestinibacter	Intestinibacter_bartlettii	0.03940089960131890	health-associated	0.03940089960131890
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum				Agathobaculum		0.03799858503196690	health-associated	0.03799858503196690
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis				Roseburia	Roseburia_intestinalis	0.03759447242844480	health-associated	0.03759447242844480
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus				Butyrivibrio	Butyrivibrio_crossotus	0.03262726975252980	health-associated	0.03262726975252980
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter				Coprobacter		0.02962495497030170	health-associated	0.02962495497030170
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_95				Firmicutes_unclassified	Firmicutes_bacterium_CAG_95	0.021257317496518800	health-associated	0.021257317496518800
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus				Bacteroides	Bacteroides_cellulosilyticus	0.0194040069116123	health-associated	0.0194040069116123
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri				Prevotella	Prevotella_copri	0.019327473574940700	health-associated	0.019327473574940700
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii				Alistipes	Alistipes_onderdonkii	0.011585084953512000	health-associated	0.011585084953512000
